"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Австралия;01.02.2020;12;2;0;3;0;0
Австралия;01.03.2020;27;11;1;2;0;1
Австралия;01.04.2020;4862;422;20;303;64;2
Австралия;02.02.2020;12;2;0;0;0;0
Австралия;02.03.2020;30;11;1;3;0;0
Австралия;02.04.2020;5116;520;24;254;98;4
Австралия;03.02.2020;12;2;0;0;0;0
Австралия;03.03.2020;39;11;1;9;0;0
Австралия;03.04.2020;5330;649;28;214;129;4
Австралия;04.02.2020;13;2;0;1;0;0
Австралия;04.03.2020;52;11;2;13;0;1
Австралия;04.04.2020;5550;701;30;220;52;2
Австралия;05.02.2020;13;2;0;0;0;0
Австралия;05.03.2020;55;21;2;3;10;0
Австралия;05.04.2020;5687;757;35;137;56;5
Австралия;06.02.2020;14;2;0;1;0;0
Австралия;06.03.2020;60;21;2;5;0;0
Австралия;06.04.2020;5797;1080;40;110;323;5
Австралия;07.02.2020;15;2;0;1;0;0
Австралия;07.03.2020;63;21;2;3;0;0
Австралия;07.04.2020;5895;1080;45;98;0;5
Австралия;08.02.2020;15;2;0;0;0;0
Австралия;08.03.2020;76;21;3;13;0;1
Австралия;08.04.2020;6010;1080;50;115;0;5
Австралия;09.02.2020;15;2;0;0;0;0
Австралия;09.03.2020;91;21;3;15;0;0
Австралия;09.04.2020;6108;1472;51;98;392;1
Австралия;10.02.2020;15;2;0;0;0;0
Австралия;10.03.2020;107;21;3;16;0;0
Австралия;10.04.2020;6215;1793;54;107;321;3
Австралия;11.02.2020;15;2;0;0;0;0
Австралия;11.03.2020;128;21;3;21;0;0
Австралия;11.04.2020;6303;1806;57;88;13;3
Австралия;12.02.2020;15;2;0;0;0;0
Австралия;12.03.2020;128;21;3;0;0;0
Австралия;12.04.2020;6315;1806;60;12;0;3
Австралия;13.02.2020;15;8;0;0;6;0
Австралия;13.03.2020;200;23;3;72;2;0
Австралия;13.04.2020;6351;1806;61;36;0;1
Австралия;14.02.2020;15;8;0;0;0;0
Австралия;14.03.2020;250;23;3;50;0;0
